affirmer|verb|			Bruno	Hee-Soo	Mathieu		
	I._B._3.b)UND-18	 JEUX (dés, trictrac, cartes, loteries…). Faire sortir, jouer (un numéro, etc.)	none	none	none	(Marine) (Par extension) Baisser son pavillon pour marquer qu’on se rend à l’ennemi.	http://kaiko.getalp.org/dbnary/fra/__ws_6_amener__verb__1
	I._B._3.b)UND-18	 JEUX (dés, trictrac, cartes, loteries…). Faire sortir, jouer (un numéro, etc.)	none	none	none	(Figuré) Introduire, faire adopter, mettre en usage.	http://kaiko.getalp.org/dbnary/fra/__ws_7_amener__verb__1
	I._B._3.b)UND-18	 JEUX (dés, trictrac, cartes, loteries…). Faire sortir, jouer (un numéro, etc.)	none	none	none	Passer d’une chose à une autre qui la suit immédiatement, ou qui en est la conséquence.	http://kaiko.getalp.org/dbnary/fra/__ws_8_amener__verb__1
	I._B._3.b)UND-18	 JEUX (dés, trictrac, cartes, loteries…). Faire sortir, jouer (un numéro, etc.)	none	none	none	(Pronominal) Venir.	http://kaiko.getalp.org/dbnary/fra/__ws_9_amener__verb__1
	I._B._3.b)UND-18	 JEUX (dés, trictrac, cartes, loteries…). Faire sortir, jouer (un numéro, etc.)	none	none	none	Mener d’un lieu à un autre.	http://kaiko.getalp.org/dbnary/fra/__ws_1_amener__verb__1
	I._B._3.b)UND-23	JEUX (dés, trictrac, cartes, loteries…). Produire, présenter.	none	none	none	(Pronominal) Arriver.	http://kaiko.getalp.org/dbnary/fra/__ws_10_amener__verb__1
	I._B._3.b)UND-23	JEUX (dés, trictrac, cartes, loteries…). Produire, présenter.	none	none	none	(Acadie) (Gaspésie) Mettre bas, en parlant des animaux.	http://kaiko.getalp.org/dbnary/fra/__ws_11_amener__verb__1
	I._B._3.b)UND-23	JEUX (dés, trictrac, cartes, loteries…). Produire, présenter.	none	none	none	Conduire, transporter vers un autre endroit.	http://kaiko.getalp.org/dbnary/fra/__ws_2_amener__verb__1
	I._B._3.b)UND-23	JEUX (dés, trictrac, cartes, loteries…). Produire, présenter.	none	none	none	(Figuré) Parvenir à faire adopter une opinion à quelqu’un.	http://kaiko.getalp.org/dbnary/fra/__ws_3_amener__verb__1
	I._B._3.b)UND-23	JEUX (dés, trictrac, cartes, loteries…). Produire, présenter.	none	none	none	Tirer à soi.	http://kaiko.getalp.org/dbnary/fra/__ws_4_amener__verb__1
	I._B._3.b)UND-23	JEUX (dés, trictrac, cartes, loteries…). Produire, présenter.	none	none	none	(Marine) Faire descendre.	http://kaiko.getalp.org/dbnary/fra/__ws_5_amener__verb__1
	I._B._3.b)UND-23	JEUX (dés, trictrac, cartes, loteries…). Produire, présenter.	none	none	none	(Marine) (Par extension) Baisser son pavillon pour marquer qu’on se rend à l’ennemi.	http://kaiko.getalp.org/dbnary/fra/__ws_6_amener__verb__1
	I._B._3.b)UND-23	JEUX (dés, trictrac, cartes, loteries…). Produire, présenter.	none	none	none	(Figuré) Introduire, faire adopter, mettre en usage.	http://kaiko.getalp.org/dbnary/fra/__ws_7_amener__verb__1
	I._B._3.b)UND-23	JEUX (dés, trictrac, cartes, loteries…). Produire, présenter.	none	none	none	Passer d’une chose à une autre qui la suit immédiatement, ou qui en est la conséquence.	http://kaiko.getalp.org/dbnary/fra/__ws_8_amener__verb__1
	I._B._3.b)UND-23	JEUX (dés, trictrac, cartes, loteries…). Produire, présenter.	none	none	none	(Pronominal) Venir.	http://kaiko.getalp.org/dbnary/fra/__ws_9_amener__verb__1
	I._B._3.b)UND-23	JEUX (dés, trictrac, cartes, loteries…). Produire, présenter.	none	none	none	Mener d’un lieu à un autre.	http://kaiko.getalp.org/dbnary/fra/__ws_1_amener__verb__1
	I._B._UND-13	[En parlant de ce qu'on peut tenir dans la main, des obj. fam. ou usuels] Apporter	none	none	none	(Pronominal) Arriver.	http://kaiko.getalp.org/dbnary/fra/__ws_10_amener__verb__1
	I._B._UND-13	[En parlant de ce qu'on peut tenir dans la main, des obj. fam. ou usuels] Apporter	none	none	none	(Acadie) (Gaspésie) Mettre bas, en parlant des animaux.	http://kaiko.getalp.org/dbnary/fra/__ws_11_amener__verb__1
	I._B._UND-13	[En parlant de ce qu'on peut tenir dans la main, des obj. fam. ou usuels] Apporter	exact	related	related	Conduire, transporter vers un autre endroit.	http://kaiko.getalp.org/dbnary/fra/__ws_2_amener__verb__1
	I._B._UND-13	[En parlant de ce qu'on peut tenir dans la main, des obj. fam. ou usuels] Apporter	none	none	none	(Figuré) Parvenir à faire adopter une opinion à quelqu’un.	http://kaiko.getalp.org/dbnary/fra/__ws_3_amener__verb__1
	I._B._UND-13	[En parlant de ce qu'on peut tenir dans la main, des obj. fam. ou usuels] Apporter	none	none	none	Tirer à soi.	http://kaiko.getalp.org/dbnary/fra/__ws_4_amener__verb__1
	I._B._UND-13	[En parlant de ce qu'on peut tenir dans la main, des obj. fam. ou usuels] Apporter	none	none	none	(Marine) Faire descendre.	http://kaiko.getalp.org/dbnary/fra/__ws_5_amener__verb__1
	I._B._UND-13	[En parlant de ce qu'on peut tenir dans la main, des obj. fam. ou usuels] Apporter	none	none	none	(Marine) (Par extension) Baisser son pavillon pour marquer qu’on se rend à l’ennemi.	http://kaiko.getalp.org/dbnary/fra/__ws_6_amener__verb__1
	I._B._UND-13	[En parlant de ce qu'on peut tenir dans la main, des obj. fam. ou usuels] Apporter	none	none	none	(Figuré) Introduire, faire adopter, mettre en usage.	http://kaiko.getalp.org/dbnary/fra/__ws_7_amener__verb__1
	I._B._UND-13	[En parlant de ce qu'on peut tenir dans la main, des obj. fam. ou usuels] Apporter	none	none	none	Passer d’une chose à une autre qui la suit immédiatement, ou qui en est la conséquence.	http://kaiko.getalp.org/dbnary/fra/__ws_8_amener__verb__1
	I._B._UND-13	[En parlant de ce qu'on peut tenir dans la main, des obj. fam. ou usuels] Apporter	none	none	none	(Pronominal) Venir.	http://kaiko.getalp.org/dbnary/fra/__ws_9_amener__verb__1
	I._B._UND-13	[En parlant de ce qu'on peut tenir dans la main, des obj. fam. ou usuels] Apporter	exact	related	related	Mener d’un lieu à un autre.	http://kaiko.getalp.org/dbnary/fra/__ws_1_amener__verb__1
	I._UND-8	[L'obj. du verbe désigne un être doué de mouvement] Le mener (pour ainsi dire par la main) au lieu où se trouve le sujet parlant ou indiqué par lui.	none	none	none	(Pronominal) Arriver.	http://kaiko.getalp.org/dbnary/fra/__ws_10_amener__verb__1
	I._UND-8	[L'obj. du verbe désigne un être doué de mouvement] Le mener (pour ainsi dire par la main) au lieu où se trouve le sujet parlant ou indiqué par lui.	none	none	none	(Acadie) (Gaspésie) Mettre bas, en parlant des animaux.	http://kaiko.getalp.org/dbnary/fra/__ws_11_amener__verb__1
	I._UND-8	[L'obj. du verbe désigne un être doué de mouvement] Le mener (pour ainsi dire par la main) au lieu où se trouve le sujet parlant ou indiqué par lui.	narrower	related	narrower	Conduire, transporter vers un autre endroit.	http://kaiko.getalp.org/dbnary/fra/__ws_2_amener__verb__1
	I._UND-8	[L'obj. du verbe désigne un être doué de mouvement] Le mener (pour ainsi dire par la main) au lieu où se trouve le sujet parlant ou indiqué par lui.	none	none	none	(Figuré) Parvenir à faire adopter une opinion à quelqu’un.	http://kaiko.getalp.org/dbnary/fra/__ws_3_amener__verb__1
	I._UND-8	[L'obj. du verbe désigne un être doué de mouvement] Le mener (pour ainsi dire par la main) au lieu où se trouve le sujet parlant ou indiqué par lui.	none	none	none	Tirer à soi.	http://kaiko.getalp.org/dbnary/fra/__ws_4_amener__verb__1
	I._UND-8	[L'obj. du verbe désigne un être doué de mouvement] Le mener (pour ainsi dire par la main) au lieu où se trouve le sujet parlant ou indiqué par lui.	none	none	none	(Marine) Faire descendre.	http://kaiko.getalp.org/dbnary/fra/__ws_5_amener__verb__1
	I._UND-8	[L'obj. du verbe désigne un être doué de mouvement] Le mener (pour ainsi dire par la main) au lieu où se trouve le sujet parlant ou indiqué par lui.	none	none	none	(Marine) (Par extension) Baisser son pavillon pour marquer qu’on se rend à l’ennemi.	http://kaiko.getalp.org/dbnary/fra/__ws_6_amener__verb__1
	I._UND-8	[L'obj. du verbe désigne un être doué de mouvement] Le mener (pour ainsi dire par la main) au lieu où se trouve le sujet parlant ou indiqué par lui.	none	none	none	(Figuré) Introduire, faire adopter, mettre en usage.	http://kaiko.getalp.org/dbnary/fra/__ws_7_amener__verb__1
	I._UND-8	[L'obj. du verbe désigne un être doué de mouvement] Le mener (pour ainsi dire par la main) au lieu où se trouve le sujet parlant ou indiqué par lui.	none	none	none	Passer d’une chose à une autre qui la suit immédiatement, ou qui en est la conséquence.	http://kaiko.getalp.org/dbnary/fra/__ws_8_amener__verb__1
	I._UND-8	[L'obj. du verbe désigne un être doué de mouvement] Le mener (pour ainsi dire par la main) au lieu où se trouve le sujet parlant ou indiqué par lui.	none	none	none	(Pronominal) Venir.	http://kaiko.getalp.org/dbnary/fra/__ws_9_amener__verb__1
	I._UND-8	[L'obj. du verbe désigne un être doué de mouvement] Le mener (pour ainsi dire par la main) au lieu où se trouve le sujet parlant ou indiqué par lui.	narrower	narrower	narrower	Mener d’un lieu à un autre.	http://kaiko.getalp.org/dbnary/fra/__ws_1_amener__verb__1
	II._A._3.UND-27	Mener progressivement	none	none	none	(Pronominal) Arriver.	http://kaiko.getalp.org/dbnary/fra/__ws_10_amener__verb__1
	II._A._3.UND-27	Mener progressivement	none	none	none	(Acadie) (Gaspésie) Mettre bas, en parlant des animaux.	http://kaiko.getalp.org/dbnary/fra/__ws_11_amener__verb__1
	II._A._3.UND-27	Mener progressivement	related	none	none	Conduire, transporter vers un autre endroit.	http://kaiko.getalp.org/dbnary/fra/__ws_2_amener__verb__1
	II._A._3.UND-27	Mener progressivement	related	none	related	(Figuré) Parvenir à faire adopter une opinion à quelqu’un.	http://kaiko.getalp.org/dbnary/fra/__ws_3_amener__verb__1
	II._A._3.UND-27	Mener progressivement	none	none	none	Tirer à soi.	http://kaiko.getalp.org/dbnary/fra/__ws_4_amener__verb__1
	II._A._3.UND-27	Mener progressivement	none	none	none	(Marine) Faire descendre.	http://kaiko.getalp.org/dbnary/fra/__ws_5_amener__verb__1
	II._A._3.UND-27	Mener progressivement	none	none	none	(Marine) (Par extension) Baisser son pavillon pour marquer qu’on se rend à l’ennemi.	http://kaiko.getalp.org/dbnary/fra/__ws_6_amener__verb__1
	II._A._3.UND-27	Mener progressivement	none	none	none	(Figuré) Introduire, faire adopter, mettre en usage.	http://kaiko.getalp.org/dbnary/fra/__ws_7_amener__verb__1
	II._A._3.UND-27	Mener progressivement	none	none	related	Passer d’une chose à une autre qui la suit immédiatement, ou qui en est la conséquence.	http://kaiko.getalp.org/dbnary/fra/__ws_8_amener__verb__1
	II._A._3.UND-27	Mener progressivement	none	none	none	(Pronominal) Venir.	http://kaiko.getalp.org/dbnary/fra/__ws_9_amener__verb__1
	II._A._3.UND-27	Mener progressivement	related	related	none	Mener d’un lieu à un autre.	http://kaiko.getalp.org/dbnary/fra/__ws_1_amener__verb__1
adroitement|adverb|							
https://www.cnrtl.fr/definition/2186							
http://kaiko.getalp.org/dbnary/fra/adroitement__adv__1							
	UND_1	D'une manière adroite, avec adresse.	exact	exact	broader	D’une manière adroite ; avec adresse, dextérité ou souplesse de corps ou d’esprit.	http://kaiko.getalp.org/dbnary/fra/__ws_1_adroitement__adv__1
